epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1102.44,0.86713,4.48643,0.34911,0.52455,1.09117,0.82284,0.85251,0.8995,0.54866,0.45005,0.41437,0.31515,0.07562,1.46982,5.70746,0.55569,0.85454,2.14205,0.00538,0.00538,0.00538
72,1117.81,0.86623,4.42086,0.3624,0.51543,1.09463,0.88138,0.87975,0.91881,0.55492,0.55626,0.41257,0.32418,0.06992,1.48717,5.7064,0.57227,0.83822,2.21944,0.005314,0.005314,0.005314
73,1133.09,0.84985,4.30995,0.35023,0.51484,1.08119,0.91087,0.90506,0.92769,0.55662,0.48461,0.40506,0.28971,0.07031,1.46978,5.63859,0.56097,0.77716,2.21872,0.005248,0.005248,0.005248
74,1148.43,0.8415,4.28225,0.35493,0.49757,1.06904,0.89008,0.76879,0.84785,0.4679,0.44988,0.29114,0.22422,0.05395,1.62399,6.14298,0.61396,1.02959,2.39305,0.005182,0.005182,0.005182
75,1163.37,0.84934,4.3602,0.35894,0.50861,1.08549,0.83671,0.84177,0.89677,0.50349,0.46163,0.31646,0.25094,0.06328,1.55939,5.66312,0.55098,0.86318,2.28651,0.005116,0.005116,0.005116
76,1178.5,0.82534,4.17003,0.34315,0.49451,1.07228,0.83121,0.90506,0.90101,0.51038,0.41039,0.44304,0.31267,0.07008,1.56808,5.56983,0.55182,0.82104,2.29677,0.00505,0.00505,0.00505
77,1193.44,0.84366,4.22465,0.3546,0.50831,1.08725,0.9043,0.88608,0.94389,0.54144,0.45446,0.42181,0.30502,0.06897,1.47688,5.54918,0.53351,0.82787,2.20233,0.004984,0.004984,0.004984
78,1208.75,0.8141,4.11756,0.34548,0.49565,1.06871,0.8541,0.88923,0.91594,0.52837,0.55531,0.45841,0.39269,0.10097,1.51059,5.65004,0.63224,0.87199,2.21915,0.004918,0.004918,0.004918
79,1223.48,0.85711,4.15016,0.34471,0.50328,1.10133,0.8431,0.85027,0.88338,0.53361,0.49853,0.3964,0.32684,0.09181,1.40833,5.50637,0.71552,0.88769,2.13452,0.004852,0.004852,0.004852
80,1238.85,0.84859,4.07114,0.34456,0.50594,1.08463,0.83322,0.917,0.90012,0.53285,0.51668,0.43038,0.37454,0.09468,1.47318,5.44538,0.60735,0.82211,2.16896,0.004786,0.004786,0.004786
81,1254.24,0.85808,3.91066,0.3448,0.50139,1.08449,0.75583,0.79114,0.82679,0.48902,0.53364,0.36709,0.33983,0.0857,1.4921,5.82835,0.61033,0.99412,2.25355,0.00472,0.00472,0.00472
82,1269.97,0.85234,4.0245,0.34761,0.5008,1.08249,0.87491,0.91772,0.93132,0.59854,0.60096,0.56329,0.4982,0.14708,1.31636,4.84311,0.58721,0.7903,2.00415,0.004654,0.004654,0.004654
83,1285,0.80789,3.85201,0.33846,0.48402,1.06583,0.84871,0.89873,0.92036,0.54921,0.55454,0.47468,0.42687,0.12203,1.46037,5.20417,0.62639,0.91793,2.22473,0.004588,0.004588,0.004588
84,1300.29,0.82667,3.97163,0.3428,0.48847,1.07843,0.833,0.89241,0.88713,0.52871,0.52761,0.43038,0.37284,0.09705,1.49873,5.18259,0.51161,0.89683,2.27244,0.004522,0.004522,0.004522
85,1315.36,0.8295,3.85759,0.34469,0.48444,1.06227,0.9178,0.87975,0.93496,0.57117,0.4674,0.44436,0.34928,0.09588,1.3739,5.18862,0.55529,0.83871,2.11384,0.004456,0.004456,0.004456
86,1330.46,0.81723,3.82477,0.3415,0.48853,1.08088,0.88638,0.88881,0.91903,0.55684,0.5511,0.34188,0.35631,0.10192,1.44116,5.27208,0.55201,0.85005,2.19121,0.00439,0.00439,0.00439
